"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 05 01:42:21 GMT 2024","Thu Dec 05 01:42:21 GMT 2024","702","tests_api","POST","TestPOST","","","POST create_docker_container",""
"failed","Thu Dec 05 01:42:07 GMT 2024","Thu Dec 05 01:42:07 GMT 2024","331","tests_api","GET","TestGET","","","GET profile information.",""
"failed","Thu Dec 05 01:42:27 GMT 2024","Thu Dec 05 01:42:27 GMT 2024","477","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Thu Dec 05 01:43:09 GMT 2024","Thu Dec 05 01:43:40 GMT 2024","30705","tests_api","Test Backup","TestBackup","","","test order db create backup",""
"failed","Thu Dec 05 01:42:27 GMT 2024","Thu Dec 05 01:42:27 GMT 2024","362","tests_api","POST","TestPOST","","","POST checking ports_len negative symbols",""
"passed","Thu Dec 05 01:43:45 GMT 2024","Thu Dec 05 01:43:45 GMT 2024","611","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"failed","Thu Dec 05 01:42:27 GMT 2024","Thu Dec 05 01:42:28 GMT 2024","371","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Thu Dec 05 01:42:10 GMT 2024","Thu Dec 05 01:42:11 GMT 2024","542","tests_api","POST","TestPOST","","","POST registration for English language not agree.",""
"passed","Thu Dec 05 01:43:43 GMT 2024","Thu Dec 05 01:43:43 GMT 2024","377","tests_api","Test Backup","TestBackup","","","test order db create backup non-belonging db",""
"broken","Thu Dec 05 01:43:54 GMT 2024","Thu Dec 05 01:43:59 GMT 2024","5066","tests_ui","Test Profile Page.","TestProfilePage","","","test_open_static_site_page",""
"passed","Thu Dec 05 01:42:22 GMT 2024","Thu Dec 05 01:42:23 GMT 2024","741","tests_api","POST","TestPOST","","","POST change_password",""
"skipped","Thu Dec 05 01:42:21 GMT 2024","Thu Dec 05 01:42:22 GMT 2024","741","tests_api","POST","TestPOST","","","POST db_list_with_filter",""
"passed","Thu Dec 05 01:42:11 GMT 2024","Thu Dec 05 01:42:11 GMT 2024","378","tests_api","POST","TestPOST","","","POST registration Bulgaria language.",""
"passed","Thu Dec 05 01:43:52 GMT 2024","Thu Dec 05 01:43:52 GMT 2024","0","tests_ui","Test Profile Page.","TestProfilePage","","","Get token.",""
"passed","Thu Dec 05 01:43:49 GMT 2024","Thu Dec 05 01:43:49 GMT 2024","718","tests_ui","Test Main Page.","TestMainPage","","","test_main_button",""
"passed","Thu Dec 05 01:42:23 GMT 2024","Thu Dec 05 01:42:23 GMT 2024","377","tests_api","POST","TestPOST","","","POST change_password_with_wrong_data",""
"broken","Thu Dec 05 01:44:23 GMT 2024","Thu Dec 05 01:44:30 GMT 2024","6790","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_jdbc",""
"passed","Thu Dec 05 01:42:10 GMT 2024","Thu Dec 05 01:42:10 GMT 2024","390","tests_api","POST","TestPOST","","","POST registration for English language.",""
"passed","Thu Dec 05 01:42:11 GMT 2024","Thu Dec 05 01:42:12 GMT 2024","380","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"skipped","Thu Dec 05 01:42:49 GMT 2024","Thu Dec 05 01:42:50 GMT 2024","725","tests_api","POST","TestPOST","","","POST delete_db",""
"passed","Thu Dec 05 01:42:12 GMT 2024","Thu Dec 05 01:42:12 GMT 2024","362","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"failed","Thu Dec 05 01:42:19 GMT 2024","Thu Dec 05 01:42:19 GMT 2024","366","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_type.",""
"failed","Thu Dec 05 01:42:28 GMT 2024","Thu Dec 05 01:42:49 GMT 2024","21119","tests_api","POST","TestPOST","","","POST delete_container",""
"passed","Thu Dec 05 01:42:09 GMT 2024","Thu Dec 05 01:42:09 GMT 2024","346","tests_api","GET","TestGET","","","GET bad_request.",""
"passed","Thu Dec 05 01:44:31 GMT 2024","Thu Dec 05 01:44:33 GMT 2024","2721","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_uuid_docker",""
"passed","Thu Dec 05 01:42:10 GMT 2024","Thu Dec 05 01:42:10 GMT 2024","0","tests_api","POST","TestPOST","","","POST get token and other params.",""
"passed","Thu Dec 05 01:43:40 GMT 2024","Thu Dec 05 01:43:40 GMT 2024","359","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong token",""
"passed","Thu Dec 05 01:42:04 GMT 2024","Thu Dec 05 01:42:04 GMT 2024","0","tests_api","Test Connection DB","TestFull","","","Get token.",""
"passed","Thu Dec 05 01:42:08 GMT 2024","Thu Dec 05 01:42:08 GMT 2024","394","tests_api","GET","TestGET","","","GET list list_dbenvs.",""
"passed","Thu Dec 05 01:42:06 GMT 2024","Thu Dec 05 01:42:07 GMT 2024","373","tests_api","GET","TestGET","","","GET tos.",""
"failed","Thu Dec 05 01:42:19 GMT 2024","Thu Dec 05 01:42:19 GMT 2024","498","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_version.",""
"passed","Thu Dec 05 01:42:15 GMT 2024","Thu Dec 05 01:42:16 GMT 2024","1102","tests_api","POST","TestPOST","","","POST login/is_logged/logout",""
"passed","Thu Dec 05 01:43:50 GMT 2024","Thu Dec 05 01:43:50 GMT 2024","515","tests_ui","Test Login Page.","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"failed","Thu Dec 05 01:42:20 GMT 2024","Thu Dec 05 01:42:20 GMT 2024","371","tests_api","POST","TestPOST","","","POST db_create_with_wrong_region.",""
"passed","Thu Dec 05 01:42:06 GMT 2024","Thu Dec 05 01:42:06 GMT 2024","0","tests_api","GET","TestGET","","","Get token.",""
"passed","Thu Dec 05 01:42:07 GMT 2024","Thu Dec 05 01:42:07 GMT 2024","362","tests_api","GET","TestGET","","","GET list list_dbtypes.",""
"failed","Thu Dec 05 01:42:18 GMT 2024","Thu Dec 05 01:42:19 GMT 2024","734","tests_api","POST","TestPOST","","","POST db_create",""
"broken","Thu Dec 05 01:44:07 GMT 2024","Thu Dec 05 01:44:14 GMT 2024","7881","tests_ui","Test Profile Page.","TestProfilePage","","","test_create_database",""
"passed","Thu Dec 05 01:42:12 GMT 2024","Thu Dec 05 01:42:12 GMT 2024","367","tests_api","POST","TestPOST","","","POST registration email is taken for bg-bg",""
"passed","Thu Dec 05 01:42:14 GMT 2024","Thu Dec 05 01:42:14 GMT 2024","725","tests_api","POST","TestPOST","","","POST is logout",""
"passed","Thu Dec 05 01:42:07 GMT 2024","Thu Dec 05 01:42:08 GMT 2024","534","tests_api","GET","TestGET","","","GET list db_versions.",""
"passed","Thu Dec 05 01:43:53 GMT 2024","Thu Dec 05 01:43:54 GMT 2024","844","tests_ui","Test Profile Page.","TestProfilePage","","","test_ids_is_not_repeated_on_profile_page",""
"passed","Thu Dec 05 01:42:13 GMT 2024","Thu Dec 05 01:42:13 GMT 2024","369","tests_api","POST","TestPOST","","","POST is logged",""
"failed","Thu Dec 05 01:42:19 GMT 2024","Thu Dec 05 01:42:20 GMT 2024","376","tests_api","POST","TestPOST","","","POST db_create_with_wrong_env.",""
