"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 02 01:43:41 GMT 2025","Wed Apr 02 01:43:42 GMT 2025","320","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"failed","Wed Apr 02 01:42:23 GMT 2025","Wed Apr 02 01:42:23 GMT 2025","317","tests_api","POST","TestPOST","","","POST checking ports_len negative len",""
"passed","Wed Apr 02 01:43:46 GMT 2025","Wed Apr 02 01:43:46 GMT 2025","627","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"failed","Wed Apr 02 01:42:08 GMT 2025","Wed Apr 02 01:42:08 GMT 2025","381","tests_api","GET","TestGET","","","GET profile status.",""
"passed","Wed Apr 02 01:42:11 GMT 2025","Wed Apr 02 01:42:11 GMT 2025","323","tests_api","POST","TestPOST","","","POST login",""
"failed","Wed Apr 02 01:42:17 GMT 2025","Wed Apr 02 01:42:17 GMT 2025","318","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_version.",""
"passed","Wed Apr 02 01:42:10 GMT 2025","Wed Apr 02 01:42:11 GMT 2025","342","tests_api","POST","TestPOST","","","POST registration email is taken for bg-bg",""
"passed","Wed Apr 02 01:43:43 GMT 2025","Wed Apr 02 01:43:43 GMT 2025","317","tests_api","Test Backup","TestBackup","","","test order db create backup non-belonging db",""
"failed","Wed Apr 02 01:42:06 GMT 2025","Wed Apr 02 01:42:06 GMT 2025","348","tests_api","GET","TestGET","","","GET profile information.",""
"passed","Wed Apr 02 01:42:13 GMT 2025","Wed Apr 02 01:42:14 GMT 2025","953","tests_api","POST","TestPOST","","","POST login/is_logged/logout",""
"failed","Wed Apr 02 01:42:24 GMT 2025","Wed Apr 02 01:42:24 GMT 2025","318","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Wed Apr 02 01:42:06 GMT 2025","Wed Apr 02 01:42:06 GMT 2025","0","tests_api","GET","TestGET","","","Get token.",""
"passed","Wed Apr 02 01:43:47 GMT 2025","Wed Apr 02 01:43:49 GMT 2025","2234","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"passed","Wed Apr 02 01:42:07 GMT 2025","Wed Apr 02 01:42:07 GMT 2025","318","tests_api","GET","TestGET","","","GET list list_dbenvs.",""
"passed","Wed Apr 02 01:42:04 GMT 2025","Wed Apr 02 01:42:04 GMT 2025","0","tests_api","Test Connection DB","TestFull","","","Get token.",""
"failed","Wed Apr 02 01:42:21 GMT 2025","Wed Apr 02 01:42:22 GMT 2025","1549","tests_api","POST","TestPOST","","","POST create_docker_container",""
"passed","Wed Apr 02 01:42:10 GMT 2025","Wed Apr 02 01:42:10 GMT 2025","323","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"passed","Wed Apr 02 01:42:19 GMT 2025","Wed Apr 02 01:42:20 GMT 2025","627","tests_api","POST","TestPOST","","","POST change_password",""
"passed","Wed Apr 02 01:43:44 GMT 2025","Wed Apr 02 01:43:44 GMT 2025","0","tests_api","Test Static webpages","TestStaticWebPages","","","POST get token and other params.",""
"failed","Wed Apr 02 01:42:04 GMT 2025","Wed Apr 02 01:42:05 GMT 2025","670","tests_api","Test Connection DB","TestFull","","","Complex",""
"failed","Wed Apr 02 01:42:17 GMT 2025","Wed Apr 02 01:42:18 GMT 2025","332","tests_api","POST","TestPOST","","","POST db_create_with_wrong_region.",""
"passed","Wed Apr 02 01:44:33 GMT 2025","Wed Apr 02 01:44:35 GMT 2025","2572","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_uuid_docker",""
"broken","Wed Apr 02 01:44:25 GMT 2025","Wed Apr 02 01:44:32 GMT 2025","6646","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_jdbc",""
"passed","Wed Apr 02 01:42:18 GMT 2025","Wed Apr 02 01:42:19 GMT 2025","624","tests_api","POST","TestPOST","","","POST create_docker_container",""
"passed","Wed Apr 02 01:42:09 GMT 2025","Wed Apr 02 01:42:09 GMT 2025","336","tests_api","POST","TestPOST","","","POST registration for English language.",""
"failed","Wed Apr 02 01:42:17 GMT 2025","Wed Apr 02 01:42:17 GMT 2025","330","tests_api","POST","TestPOST","","","POST db_create_with_wrong_env.",""
"passed","Wed Apr 02 01:42:10 GMT 2025","Wed Apr 02 01:42:10 GMT 2025","333","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"failed","Wed Apr 02 01:42:23 GMT 2025","Wed Apr 02 01:42:23 GMT 2025","318","tests_api","POST","TestPOST","","","POST checking ports_len negative symbols",""
"skipped","Wed Apr 02 01:42:45 GMT 2025","Wed Apr 02 01:42:46 GMT 2025","631","tests_api","POST","TestPOST","","","POST delete_db",""
"passed","Wed Apr 02 01:43:51 GMT 2025","Wed Apr 02 01:43:52 GMT 2025","541","tests_ui","Test Login Page.","TestLoginPage","","","test_buttons_are_clickable",""
"broken","Wed Apr 02 01:44:02 GMT 2025","Wed Apr 02 01:44:07 GMT 2025","5432","tests_ui","Test Profile Page.","TestProfilePage","","","test_check_title_of_static_table",""
"failed","Wed Apr 02 01:42:23 GMT 2025","Wed Apr 02 01:42:24 GMT 2025","316","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"failed","Wed Apr 02 01:44:18 GMT 2025","Wed Apr 02 01:44:21 GMT 2025","3408","tests_ui","Test Profile Page.","TestProfilePage","","","test_delete_database",""
"passed","Wed Apr 02 01:42:11 GMT 2025","Wed Apr 02 01:42:12 GMT 2025","318","tests_api","POST","TestPOST","","","POST is logged",""
"failed","Wed Apr 02 01:43:44 GMT 2025","Wed Apr 02 01:43:44 GMT 2025","294","tests_api","Test Static webpages","TestStaticWebPages","","","POST check static webpages without toke.",""
"broken","Wed Apr 02 01:42:05 GMT 2025","Wed Apr 02 01:42:05 GMT 2025","307","tests_api","Test Connection DB","TestFull","","","Capacity_db",""
"passed","Wed Apr 02 01:42:06 GMT 2025","Wed Apr 02 01:42:06 GMT 2025","397","tests_api","GET","TestGET","","","GET tos.",""
"passed","Wed Apr 02 01:42:20 GMT 2025","Wed Apr 02 01:42:21 GMT 2025","317","tests_api","POST","TestPOST","","","POST change_password_without_token",""
"passed","Wed Apr 02 01:43:51 GMT 2025","Wed Apr 02 01:43:51 GMT 2025","484","tests_ui","Test Login Page.","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"passed","Wed Apr 02 01:43:41 GMT 2025","Wed Apr 02 01:43:41 GMT 2025","316","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong token",""
"passed","Wed Apr 02 01:43:42 GMT 2025","Wed Apr 02 01:43:42 GMT 2025","316","tests_api","Test Backup","TestBackup","","","test order db create backup without uuid",""
"passed","Wed Apr 02 01:42:09 GMT 2025","Wed Apr 02 01:42:09 GMT 2025","0","tests_api","POST","TestPOST","","","POST get token and other params.",""
"passed","Wed Apr 02 01:42:12 GMT 2025","Wed Apr 02 01:42:13 GMT 2025","664","tests_api","POST","TestPOST","","","POST is logout",""
"passed","Wed Apr 02 01:42:12 GMT 2025","Wed Apr 02 01:42:12 GMT 2025","310","tests_api","POST","TestPOST","","","POST is_logged_with_wrong_token",""
"failed","Wed Apr 02 01:42:24 GMT 2025","Wed Apr 02 01:42:45 GMT 2025","20932","tests_api","POST","TestPOST","","","POST delete_container",""
"passed","Wed Apr 02 01:44:22 GMT 2025","Wed Apr 02 01:44:24 GMT 2025","2024","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"passed","Wed Apr 02 01:43:52 GMT 2025","Wed Apr 02 01:43:53 GMT 2025","567","tests_ui","Test Login Page.","TestLoginPage","","","test_login",""
"passed","Wed Apr 02 01:43:50 GMT 2025","Wed Apr 02 01:43:50 GMT 2025","655","tests_ui","Test Main Page.","TestMainPage","","","test_main_button",""
"passed","Wed Apr 02 01:42:20 GMT 2025","Wed Apr 02 01:42:20 GMT 2025","317","tests_api","POST","TestPOST","","","POST change_password_with_wrong_data",""
"broken","Wed Apr 02 01:43:10 GMT 2025","Wed Apr 02 01:43:40 GMT 2025","30412","tests_api","Test Backup","TestBackup","","","test order db create backup",""
"failed","Wed Apr 02 01:42:16 GMT 2025","Wed Apr 02 01:42:16 GMT 2025","636","tests_api","POST","TestPOST","","","POST db_create",""
"passed","Wed Apr 02 01:42:11 GMT 2025","Wed Apr 02 01:42:11 GMT 2025","317","tests_api","POST","TestPOST","","","POST registration email is taken for unsupported languages",""
"passed","Wed Apr 02 01:42:06 GMT 2025","Wed Apr 02 01:42:07 GMT 2025","319","tests_api","GET","TestGET","","","GET list list_dbtypes.",""
