"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Feb 18 01:25:45 GMT 2025","Tue Feb 18 01:25:45 GMT 2025","449","tests_api","Test Connection DB","TestFull","","","Capacity_db",""
"passed","Tue Feb 18 01:25:51 GMT 2025","Tue Feb 18 01:25:51 GMT 2025","311","tests_api","POST","TestPOST","","","POST login",""
"passed","Tue Feb 18 01:27:50 GMT 2025","Tue Feb 18 01:27:51 GMT 2025","612","tests_ui","Test Main Page.","TestMainPage","","","test_main_button",""
"passed","Tue Feb 18 01:25:46 GMT 2025","Tue Feb 18 01:25:47 GMT 2025","319","tests_api","GET","TestGET","","","GET list db_versions.",""
"passed","Tue Feb 18 01:25:49 GMT 2025","Tue Feb 18 01:25:50 GMT 2025","302","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"failed","Tue Feb 18 01:25:48 GMT 2025","Tue Feb 18 01:25:48 GMT 2025","401","tests_api","GET","TestGET","","","GET profile status.",""
"passed","Tue Feb 18 01:25:59 GMT 2025","Tue Feb 18 01:25:59 GMT 2025","690","tests_api","POST","TestPOST","","","POST change_password",""
"failed","Tue Feb 18 01:27:45 GMT 2025","Tue Feb 18 01:27:45 GMT 2025","282","tests_api","Test Static webpages","TestStaticWebPages","","","POST check static webpages without toke.",""
"passed","Tue Feb 18 01:25:48 GMT 2025","Tue Feb 18 01:25:49 GMT 2025","311","tests_api","POST","TestPOST","","","POST registration for English language.",""
"passed","Tue Feb 18 01:25:54 GMT 2025","Tue Feb 18 01:25:55 GMT 2025","928","tests_api","POST","TestPOST","","","POST logout with wrong logout token",""
"failed","Tue Feb 18 01:26:03 GMT 2025","Tue Feb 18 01:26:24 GMT 2025","20914","tests_api","POST","TestPOST","","","POST delete_container",""
"skipped","Tue Feb 18 01:26:25 GMT 2025","Tue Feb 18 01:26:25 GMT 2025","611","tests_api","POST","TestPOST","","","POST delete_db",""
"passed","Tue Feb 18 01:28:22 GMT 2025","Tue Feb 18 01:28:23 GMT 2025","1953","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"passed","Tue Feb 18 01:25:52 GMT 2025","Tue Feb 18 01:25:52 GMT 2025","619","tests_api","POST","TestPOST","","","POST is logout",""
"failed","Tue Feb 18 01:26:02 GMT 2025","Tue Feb 18 01:26:02 GMT 2025","302","tests_api","POST","TestPOST","","","POST checking ports_len negative range",""
