"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 26 01:40:59 GMT 2025","Sat Apr 26 01:40:59 GMT 2025","0","tests_api","Test Connection DB","TestFull","","","Get token.",""
"failed","Sat Apr 26 01:42:44 GMT 2025","Sat Apr 26 01:42:44 GMT 2025","292","tests_api","Test Static webpages","TestStaticWebPages","","","POST check static webpages without toke.",""
"passed","Sat Apr 26 01:42:56 GMT 2025","Sat Apr 26 01:42:58 GMT 2025","2214","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"failed","Sat Apr 26 01:41:10 GMT 2025","Sat Apr 26 01:41:11 GMT 2025","635","tests_api","POST","TestPOST","","","POST db_create",""
"passed","Sat Apr 26 01:41:09 GMT 2025","Sat Apr 26 01:41:10 GMT 2025","1060","tests_api","POST","TestPOST","","","POST logout with wrong logout token",""
"passed","Sat Apr 26 01:41:03 GMT 2025","Sat Apr 26 01:41:04 GMT 2025","496","tests_api","POST","TestPOST","","","POST registration for English language.",""
"passed","Sat Apr 26 01:42:58 GMT 2025","Sat Apr 26 01:42:59 GMT 2025","716","tests_ui","Test Main Page.","TestMainPage","","","test_main_button",""
"passed","Sat Apr 26 01:41:07 GMT 2025","Sat Apr 26 01:41:07 GMT 2025","624","tests_api","POST","TestPOST","","","POST is logout",""
"passed","Sat Apr 26 01:41:05 GMT 2025","Sat Apr 26 01:41:05 GMT 2025","328","tests_api","POST","TestPOST","","","POST registration email is taken for bg-bg",""
"failed","Sat Apr 26 01:41:11 GMT 2025","Sat Apr 26 01:41:12 GMT 2025","318","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_version.",""
"broken","Sat Apr 26 01:43:34 GMT 2025","Sat Apr 26 01:43:41 GMT 2025","6626","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_jdbc",""
"passed","Sat Apr 26 01:42:41 GMT 2025","Sat Apr 26 01:42:41 GMT 2025","313","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong token",""
"passed","Sat Apr 26 01:41:01 GMT 2025","Sat Apr 26 01:41:02 GMT 2025","486","tests_api","GET","TestGET","","","GET list db_versions.",""
"broken","Sat Apr 26 01:43:18 GMT 2025","Sat Apr 26 01:43:26 GMT 2025","8026","tests_ui","Test Profile Page.","TestProfilePage","","","test_create_database",""
"passed","Sat Apr 26 01:41:15 GMT 2025","Sat Apr 26 01:41:15 GMT 2025","314","tests_api","POST","TestPOST","","","POST change_password_without_token",""
"failed","Sat Apr 26 01:41:03 GMT 2025","Sat Apr 26 01:41:03 GMT 2025","304","tests_api","GET","TestGET","","","GET profile status.",""
"failed","Sat Apr 26 01:41:17 GMT 2025","Sat Apr 26 01:41:18 GMT 2025","313","tests_api","POST","TestPOST","","","POST checking ports_len negative range",""
"skipped","Sat Apr 26 01:41:40 GMT 2025","Sat Apr 26 01:41:41 GMT 2025","604","tests_api","POST","TestPOST","","","POST delete_db",""
"broken","Sat Apr 26 01:42:10 GMT 2025","Sat Apr 26 01:42:41 GMT 2025","30416","tests_api","Test Backup","TestBackup","","","test order db create backup",""
"passed","Sat Apr 26 01:41:03 GMT 2025","Sat Apr 26 01:41:03 GMT 2025","0","tests_api","POST","TestPOST","","","POST get token and other params.",""
"failed","Sat Apr 26 01:43:27 GMT 2025","Sat Apr 26 01:43:30 GMT 2025","3396","tests_ui","Test Profile Page.","TestProfilePage","","","test_delete_database",""
"passed","Sat Apr 26 01:42:43 GMT 2025","Sat Apr 26 01:42:44 GMT 2025","317","tests_api","Test Backup","TestBackup","","","test order db create backup non-belonging db",""
"passed","Sat Apr 26 01:43:31 GMT 2025","Sat Apr 26 01:43:33 GMT 2025","2080","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"failed","Sat Apr 26 01:41:12 GMT 2025","Sat Apr 26 01:41:12 GMT 2025","485","tests_api","POST","TestPOST","","","POST db_create_with_wrong_region.",""
"passed","Sat Apr 26 01:42:42 GMT 2025","Sat Apr 26 01:42:42 GMT 2025","317","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"failed","Sat Apr 26 01:41:12 GMT 2025","Sat Apr 26 01:41:12 GMT 2025","315","tests_api","POST","TestPOST","","","POST db_create_with_wrong_env.",""
"passed","Sat Apr 26 01:42:59 GMT 2025","Sat Apr 26 01:43:00 GMT 2025","600","tests_ui","Test Login Page.","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"skipped","Sat Apr 26 01:41:41 GMT 2025","Sat Apr 26 01:42:10 GMT 2025","28725","tests_api","POST","TestPOST","","","POST delete_all_created_db",""
"passed","Sat Apr 26 01:41:01 GMT 2025","Sat Apr 26 01:41:01 GMT 2025","311","tests_api","GET","TestGET","","","GET list list_dbtypes.",""
"failed","Sat Apr 26 01:41:00 GMT 2025","Sat Apr 26 01:41:01 GMT 2025","311","tests_api","GET","TestGET","","","GET profile information.",""
"failed","Sat Apr 26 01:41:18 GMT 2025","Sat Apr 26 01:41:18 GMT 2025","313","tests_api","POST","TestPOST","","","POST checking ports_len negative len",""
"broken","Sat Apr 26 01:43:11 GMT 2025","Sat Apr 26 01:43:17 GMT 2025","5421","tests_ui","Test Profile Page.","TestProfilePage","","","test_check_title_of_static_table",""
"broken","Sat Apr 26 01:40:59 GMT 2025","Sat Apr 26 01:41:00 GMT 2025","303","tests_api","Test Connection DB","TestFull","","","Capacity_db",""
"passed","Sat Apr 26 01:41:04 GMT 2025","Sat Apr 26 01:41:05 GMT 2025","315","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"failed","Sat Apr 26 01:40:59 GMT 2025","Sat Apr 26 01:40:59 GMT 2025","820","tests_api","Test Connection DB","TestFull","","","Complex",""
"passed","Sat Apr 26 01:41:07 GMT 2025","Sat Apr 26 01:41:08 GMT 2025","960","tests_api","POST","TestPOST","","","POST login/is_logged/logout",""
"passed","Sat Apr 26 01:41:02 GMT 2025","Sat Apr 26 01:41:03 GMT 2025","305","tests_api","GET","TestGET","","","GET bad_request.",""
"passed","Sat Apr 26 01:41:06 GMT 2025","Sat Apr 26 01:41:06 GMT 2025","324","tests_api","POST","TestPOST","","","POST login",""
"passed","Sat Apr 26 01:42:42 GMT 2025","Sat Apr 26 01:42:43 GMT 2025","317","tests_api","Test Backup","TestBackup","","","test order db create backup without uuid",""
"broken","Sat Apr 26 01:43:05 GMT 2025","Sat Apr 26 01:43:10 GMT 2025","5478","tests_ui","Test Profile Page.","TestProfilePage","","","test_open_static_site_page",""
"broken","Sat Apr 26 01:43:42 GMT 2025","Sat Apr 26 01:43:48 GMT 2025","6024","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_uuid_docker",""
"passed","Sat Apr 26 01:41:02 GMT 2025","Sat Apr 26 01:41:02 GMT 2025","332","tests_api","GET","TestGET","","","GET list list_regions.",""
"passed","Sat Apr 26 01:42:44 GMT 2025","Sat Apr 26 01:42:44 GMT 2025","1","tests_api","Test Static webpages","TestStaticWebPages","","","POST get token and other params.",""
"failed","Sat Apr 26 01:41:18 GMT 2025","Sat Apr 26 01:41:18 GMT 2025","315","tests_api","POST","TestPOST","","","POST checking ports_len negative symbols",""
"passed","Sat Apr 26 01:41:06 GMT 2025","Sat Apr 26 01:41:06 GMT 2025","310","tests_api","POST","TestPOST","","","POST is logged",""
"passed","Sat Apr 26 01:43:03 GMT 2025","Sat Apr 26 01:43:04 GMT 2025","851","tests_ui","Test Profile Page.","TestProfilePage","","","test_ids_is_not_repeated_on_profile_page",""
"passed","Sat Apr 26 01:43:01 GMT 2025","Sat Apr 26 01:43:02 GMT 2025","980","tests_ui","Test Login Page.","TestLoginPage","","","test_login",""
"failed","Sat Apr 26 01:41:19 GMT 2025","Sat Apr 26 01:41:40 GMT 2025","20939","tests_api","POST","TestPOST","","","POST delete_container",""
"passed","Sat Apr 26 01:41:00 GMT 2025","Sat Apr 26 01:41:00 GMT 2025","0","tests_api","GET","TestGET","","","Get token.",""
"passed","Sat Apr 26 01:41:00 GMT 2025","Sat Apr 26 01:41:00 GMT 2025","328","tests_api","GET","TestGET","","","GET tos.",""
"passed","Sat Apr 26 01:41:05 GMT 2025","Sat Apr 26 01:41:05 GMT 2025","314","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"passed","Sat Apr 26 01:41:06 GMT 2025","Sat Apr 26 01:41:07 GMT 2025","315","tests_api","POST","TestPOST","","","POST is_logged_with_wrong_token",""
"failed","Sat Apr 26 01:41:19 GMT 2025","Sat Apr 26 01:41:19 GMT 2025","314","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"skipped","Sat Apr 26 01:41:13 GMT 2025","Sat Apr 26 01:41:14 GMT 2025","603","tests_api","POST","TestPOST","","","POST db_list_with_filter",""
"passed","Sat Apr 26 01:41:04 GMT 2025","Sat Apr 26 01:41:04 GMT 2025","321","tests_api","POST","TestPOST","","","POST registration Bulgaria language.",""
"passed","Sat Apr 26 01:41:13 GMT 2025","Sat Apr 26 01:41:13 GMT 2025","609","tests_api","POST","TestPOST","","","POST create_docker_container",""
