"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 19 01:42:18 GMT 2024","Thu Dec 19 01:42:18 GMT 2024","0","tests_ui","Test Profile Page.","TestProfilePage","","","Get token.",""
"broken","Thu Dec 19 01:42:53 GMT 2024","Thu Dec 19 01:43:00 GMT 2024","7144","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_jdbc",""
"passed","Thu Dec 19 01:39:26 GMT 2024","Thu Dec 19 01:39:27 GMT 2024","512","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"passed","Thu Dec 19 01:41:45 GMT 2024","Thu Dec 19 01:41:46 GMT 2024","499","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"passed","Thu Dec 19 01:42:19 GMT 2024","Thu Dec 19 01:42:20 GMT 2024","1255","tests_ui","Test Profile Page.","TestProfilePage","","","test_ids_is_not_repeated_on_profile_page",""
"passed","Thu Dec 19 01:39:29 GMT 2024","Thu Dec 19 01:39:29 GMT 2024","496","tests_api","POST","TestPOST","","","POST is_logged_with_wrong_token",""
"failed","Thu Dec 19 01:39:46 GMT 2024","Thu Dec 19 01:39:47 GMT 2024","546","tests_api","POST","TestPOST","","","POST checking ports_len negative symbols",""
"failed","Thu Dec 19 01:39:20 GMT 2024","Thu Dec 19 01:39:21 GMT 2024","495","tests_api","GET","TestGET","","","GET profile information.",""
"passed","Thu Dec 19 01:39:20 GMT 2024","Thu Dec 19 01:39:20 GMT 2024","0","tests_api","GET","TestGET","","","Get token.",""
"skipped","Thu Dec 19 01:40:11 GMT 2024","Thu Dec 19 01:41:12 GMT 2024","61019","tests_api","POST","TestPOST","","","POST delete_all_created_db",""
"skipped","Thu Dec 19 01:40:10 GMT 2024","Thu Dec 19 01:40:11 GMT 2024","1016","tests_api","POST","TestPOST","","","POST delete_db",""
"passed","Thu Dec 19 01:39:29 GMT 2024","Thu Dec 19 01:39:30 GMT 2024","1017","tests_api","POST","TestPOST","","","POST is logout",""
"failed","Thu Dec 19 01:39:48 GMT 2024","Thu Dec 19 01:40:09 GMT 2024","21476","tests_api","POST","TestPOST","","","POST delete_container",""
"passed","Thu Dec 19 01:43:01 GMT 2024","Thu Dec 19 01:43:04 GMT 2024","3286","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_uuid_docker",""
"passed","Thu Dec 19 01:39:22 GMT 2024","Thu Dec 19 01:39:22 GMT 2024","491","tests_api","GET","TestGET","","","GET list list_dbenvs.",""
"broken","Thu Dec 19 01:42:34 GMT 2024","Thu Dec 19 01:42:43 GMT 2024","8829","tests_ui","Test Profile Page.","TestProfilePage","","","test_create_database",""
"passed","Thu Dec 19 01:39:24 GMT 2024","Thu Dec 19 01:39:25 GMT 2024","514","tests_api","POST","TestPOST","","","POST registration for English language.",""
"passed","Thu Dec 19 01:39:21 GMT 2024","Thu Dec 19 01:39:22 GMT 2024","506","tests_api","GET","TestGET","","","GET list db_versions.",""
