"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 08 00:47:22 GMT 2024","Wed May 08 00:47:24 GMT 2024","1285","tests_ui","Test Profile Page.","TestUI","","","test_ids_is_not_repeated_on_profile_page",""
"passed","Wed May 08 00:45:24 GMT 2024","Wed May 08 00:45:25 GMT 2024","523","tests_api","GET","TestRequests","","","GET profile status.",""
"passed","Wed May 08 00:47:11 GMT 2024","Wed May 08 00:47:12 GMT 2024","848","tests_ui","Test Main Page.","TestUI","","","test_ids_is_not_repeated_on_main_page",""
"passed","Wed May 08 00:45:43 GMT 2024","Wed May 08 00:45:44 GMT 2024","1165","tests_api","POST","TestRequests","","","POST create_docker_container_without_token",""
"passed","Wed May 08 00:45:37 GMT 2024","Wed May 08 00:45:38 GMT 2024","550","tests_api","POST","TestRequests","","","POST change_password_without_token",""
"passed","Wed May 08 00:45:27 GMT 2024","Wed May 08 00:45:28 GMT 2024","514","tests_api","POST","TestRequests","","","Post registration email is taken for en-us",""
"passed","Wed May 08 00:45:41 GMT 2024","Wed May 08 00:45:42 GMT 2024","513","tests_api","POST","TestRequests","","","POST checking ports_len negative range",""
"passed","Wed May 08 00:45:22 GMT 2024","Wed May 08 00:45:23 GMT 2024","544","tests_api","GET","TestRequests","","","GET list db_versions.",""
"passed","Wed May 08 00:45:29 GMT 2024","Wed May 08 00:45:30 GMT 2024","560","tests_api","POST","TestRequests","","","POST is logged",""
"failed","Wed May 08 00:47:33 GMT 2024","Wed May 08 00:47:37 GMT 2024","3673","tests_ui","Test Profile Page.","TestUI","","","test_delete_database",""
"passed","Wed May 08 00:45:28 GMT 2024","Wed May 08 00:45:29 GMT 2024","549","tests_api","POST","TestRequests","","","Post registration email is taken for unsupported languages",""
"passed","Wed May 08 00:45:43 GMT 2024","Wed May 08 00:45:43 GMT 2024","519","tests_api","POST","TestRequests","","","POST create_docker_container_without_token",""
"failed","Wed May 08 00:48:04 GMT 2024","Wed May 08 00:48:07 GMT 2024","3196","tests_ui","Test Profile Page.","TestUI","","","test_delete_container",""
"passed","Wed May 08 00:47:49 GMT 2024","Wed May 08 00:47:51 GMT 2024","1977","tests_ui","Test Profile Page.","TestUI","","","test_clipboard_uuid_docker",""
"passed","Wed May 08 00:45:32 GMT 2024","Wed May 08 00:45:32 GMT 2024","549","tests_api","POST","TestRequests","","","POST db_create_with_wrong_env.",""
"passed","Wed May 08 00:47:53 GMT 2024","Wed May 08 00:47:59 GMT 2024","5509","tests_ui","Test Profile Page.","TestUI","","","test_create_docker_container",""
"passed","Wed May 08 00:47:44 GMT 2024","Wed May 08 00:47:47 GMT 2024","2554","tests_ui","Test Profile Page.","TestUI","","","test_clipboard_jdbc",""
"passed","Wed May 08 00:47:12 GMT 2024","Wed May 08 00:47:16 GMT 2024","3732","tests_ui","Test Main Page.","TestUI","","","test_links",""
"passed","Wed May 08 00:45:29 GMT 2024","Wed May 08 00:45:29 GMT 2024","517","tests_api","POST","TestRequests","","","Post login",""
"passed","Wed May 08 00:45:24 GMT 2024","Wed May 08 00:45:24 GMT 2024","545","tests_api","GET","TestRequests","","","GET bad request.",""
"passed","Wed May 08 00:45:23 GMT 2024","Wed May 08 00:45:24 GMT 2024","536","tests_api","GET","TestRequests","","","GET list regions.",""
"passed","Wed May 08 00:47:20 GMT 2024","Wed May 08 00:47:22 GMT 2024","1977","tests_ui","Test Login Page.","TestUI","","","test_login",""
"passed","Wed May 08 00:45:32 GMT 2024","Wed May 08 00:45:33 GMT 2024","549","tests_api","POST","TestRequests","","","POST db_create_with_wrong_region.",""
"passed","Wed May 08 00:45:25 GMT 2024","Wed May 08 00:45:25 GMT 2024","554","tests_api","POST","TestRequests","","","Post registration for English language.",""
