"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 16 01:44:20 GMT 2025","Wed Apr 16 01:44:21 GMT 2025","356","tests_api","GET","TestGET","","","GET list list_regions.",""
"broken","Wed Apr 16 01:44:17 GMT 2025","Wed Apr 16 01:44:18 GMT 2025","504","tests_api","Test Connection DB","TestFull","","","Capacity_db",""
"passed","Wed Apr 16 01:44:24 GMT 2025","Wed Apr 16 01:44:25 GMT 2025","376","tests_api","POST","TestPOST","","","POST login",""
"passed","Wed Apr 16 01:44:18 GMT 2025","Wed Apr 16 01:44:18 GMT 2025","373","tests_api","GET","TestGET","","","GET tos.",""
"failed","Wed Apr 16 01:44:30 GMT 2025","Wed Apr 16 01:44:31 GMT 2025","723","tests_api","POST","TestPOST","","","POST db_create",""
"failed","Wed Apr 16 01:44:39 GMT 2025","Wed Apr 16 01:45:00 GMT 2025","21050","tests_api","POST","TestPOST","","","POST delete_container",""
"passed","Wed Apr 16 01:44:22 GMT 2025","Wed Apr 16 01:44:23 GMT 2025","368","tests_api","POST","TestPOST","","","POST registration for English language not agree.",""
"passed","Wed Apr 16 01:44:34 GMT 2025","Wed Apr 16 01:44:35 GMT 2025","718","tests_api","POST","TestPOST","","","POST change_password",""
"passed","Wed Apr 16 01:44:22 GMT 2025","Wed Apr 16 01:44:22 GMT 2025","0","tests_api","POST","TestPOST","","","POST get token and other params.",""
"passed","Wed Apr 16 01:44:23 GMT 2025","Wed Apr 16 01:44:23 GMT 2025","364","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"passed","Wed Apr 16 01:46:53 GMT 2025","Wed Apr 16 01:46:53 GMT 2025","514","tests_ui","Test Login Page.","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"passed","Wed Apr 16 01:46:52 GMT 2025","Wed Apr 16 01:46:52 GMT 2025","716","tests_ui","Test Main Page.","TestMainPage","","","test_main_button",""
"passed","Wed Apr 16 01:46:45 GMT 2025","Wed Apr 16 01:46:45 GMT 2025","369","tests_api","Test Backup","TestBackup","","","test order db create backup non-belonging db",""
"failed","Wed Apr 16 01:47:19 GMT 2025","Wed Apr 16 01:47:22 GMT 2025","3369","tests_ui","Test Profile Page.","TestProfilePage","","","test_delete_database",""
"passed","Wed Apr 16 01:46:49 GMT 2025","Wed Apr 16 01:46:51 GMT 2025","2527","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"passed","Wed Apr 16 01:46:55 GMT 2025","Wed Apr 16 01:46:55 GMT 2025","618","tests_ui","Test Login Page.","TestLoginPage","","","test_login",""
"failed","Wed Apr 16 01:44:38 GMT 2025","Wed Apr 16 01:44:38 GMT 2025","370","tests_api","POST","TestPOST","","","POST checking ports_len negative len",""
"failed","Wed Apr 16 01:44:31 GMT 2025","Wed Apr 16 01:44:31 GMT 2025","374","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_version.",""
"passed","Wed Apr 16 01:47:34 GMT 2025","Wed Apr 16 01:47:37 GMT 2025","2643","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_uuid_docker",""
"broken","Wed Apr 16 01:47:10 GMT 2025","Wed Apr 16 01:47:18 GMT 2025","7938","tests_ui","Test Profile Page.","TestProfilePage","","","test_create_database",""
"failed","Wed Apr 16 01:44:39 GMT 2025","Wed Apr 16 01:44:39 GMT 2025","358","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"failed","Wed Apr 16 01:44:39 GMT 2025","Wed Apr 16 01:44:39 GMT 2025","355","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Wed Apr 16 01:46:56 GMT 2025","Wed Apr 16 01:46:57 GMT 2025","936","tests_ui","Test Profile Page.","TestProfilePage","","","test_ids_is_not_repeated_on_profile_page",""
"failed","Wed Apr 16 01:44:37 GMT 2025","Wed Apr 16 01:44:38 GMT 2025","375","tests_api","POST","TestPOST","","","POST checking ports_len negative range",""
