"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 00:57:00 GMT 2024","Fri May 24 00:57:00 GMT 2024","718","tests_api","POST","TestRequests","","","POST db_list",""
"passed","Fri May 24 00:58:33 GMT 2024","Fri May 24 00:58:35 GMT 2024","2145","tests_ui","Test Login Page.","TestUI","","","test_login",""
"broken","Fri May 24 00:57:05 GMT 2024","Fri May 24 00:57:07 GMT 2024","2476","tests_api","POST","TestRequests","","","POST create_docker_container",""
"passed","Fri May 24 00:56:55 GMT 2024","Fri May 24 00:56:56 GMT 2024","517","tests_api","POST","TestRequests","","","Post login",""
"passed","Fri May 24 00:56:52 GMT 2024","Fri May 24 00:56:52 GMT 2024","540","tests_api","POST","TestRequests","","","Post registration for English language not agree.",""
"passed","Fri May 24 00:57:09 GMT 2024","Fri May 24 00:57:10 GMT 2024","538","tests_api","POST","TestRequests","","","POST checking ports_len negative symbols",""
"passed","Fri May 24 00:56:49 GMT 2024","Fri May 24 00:56:50 GMT 2024","543","tests_api","GET","TestRequests","","","GET list envs.",""
"passed","Fri May 24 00:59:00 GMT 2024","Fri May 24 00:59:03 GMT 2024","2625","tests_ui","Test Profile Page.","TestUI","","","test_clipboard_jdbc",""
"passed","Fri May 24 00:59:05 GMT 2024","Fri May 24 00:59:07 GMT 2024","1976","tests_ui","Test Profile Page.","TestUI","","","test_clipboard_uuid_docker",""
"passed","Fri May 24 00:59:10 GMT 2024","Fri May 24 00:59:18 GMT 2024","7936","tests_ui","Test Profile Page.","TestUI","","","test_create_docker_container",""
"passed","Fri May 24 00:56:48 GMT 2024","Fri May 24 00:56:49 GMT 2024","697","tests_api","GET","TestRequests","","","List db_types.",""
"passed","Fri May 24 00:58:55 GMT 2024","Fri May 24 00:58:58 GMT 2024","2699","tests_ui","Test Profile Page.","TestUI","","","test_clipboard",""
"passed","Fri May 24 00:56:53 GMT 2024","Fri May 24 00:56:54 GMT 2024","542","tests_api","POST","TestRequests","","","Post registration Bulgaria language not agree.",""
"passed","Fri May 24 00:57:08 GMT 2024","Fri May 24 00:57:09 GMT 2024","541","tests_api","POST","TestRequests","","","POST checking ports_len negative range",""
"passed","Fri May 24 00:56:49 GMT 2024","Fri May 24 00:56:49 GMT 2024","537","tests_api","GET","TestRequests","","","GET list db_versions.",""
"passed","Fri May 24 00:56:51 GMT 2024","Fri May 24 00:56:52 GMT 2024","579","tests_api","POST","TestRequests","","","Post registration for English language.",""
"passed","Fri May 24 00:56:55 GMT 2024","Fri May 24 00:56:55 GMT 2024","544","tests_api","POST","TestRequests","","","Post registration email is taken for unsupported languages",""
"passed","Fri May 24 00:57:02 GMT 2024","Fri May 24 00:57:04 GMT 2024","1081","tests_api","POST","TestRequests","","","POST change_password",""
"failed","Fri May 24 00:56:58 GMT 2024","Fri May 24 00:56:58 GMT 2024","545","tests_api","POST","TestRequests","","","POST db_create_with_wrong_db_type.",""
"passed","Fri May 24 00:56:54 GMT 2024","Fri May 24 00:56:55 GMT 2024","545","tests_api","POST","TestRequests","","","Post registration email is taken for bg-bg",""
"passed","Fri May 24 00:58:30 GMT 2024","Fri May 24 00:58:31 GMT 2024","745","tests_ui","Test Login Page.","TestUI","","","test_ids_is_not_repeated_on_login_page",""
"failed","Fri May 24 00:56:58 GMT 2024","Fri May 24 00:56:59 GMT 2024","543","tests_api","POST","TestRequests","","","POST db_create_with_wrong_db_version.",""
"passed","Fri May 24 00:57:04 GMT 2024","Fri May 24 00:57:05 GMT 2024","539","tests_api","POST","TestRequests","","","POST change_password_without_token",""
"passed","Fri May 24 00:58:22 GMT 2024","Fri May 24 00:58:24 GMT 2024","1888","tests_ui","Test Main Page.","TestUI","","","test_ids_is_not_repeated_on_main_page",""
"failed","Fri May 24 00:58:49 GMT 2024","Fri May 24 00:58:53 GMT 2024","3771","tests_ui","Test Profile Page.","TestUI","","","test_delete_database",""
"passed","Fri May 24 00:56:47 GMT 2024","Fri May 24 00:56:47 GMT 2024","543","tests_api","GET","TestRequests","","","GET tos.",""
"passed","Fri May 24 00:56:50 GMT 2024","Fri May 24 00:56:50 GMT 2024","551","tests_api","GET","TestRequests","","","GET list regions.",""
"failed","Fri May 24 00:56:59 GMT 2024","Fri May 24 00:57:00 GMT 2024","531","tests_api","POST","TestRequests","","","POST db_create_with_wrong_region.",""
"passed","Fri May 24 00:57:04 GMT 2024","Fri May 24 00:57:04 GMT 2024","542","tests_api","POST","TestRequests","","","POST change_password_with_wrong_data",""
"failed","Fri May 24 00:59:22 GMT 2024","Fri May 24 00:59:28 GMT 2024","5576","tests_ui","Test Profile Page.","TestUI","","","test_delete_container",""
"passed","Fri May 24 00:56:50 GMT 2024","Fri May 24 00:56:51 GMT 2024","517","tests_api","GET","TestRequests","","","GET bad request.",""
"failed","Fri May 24 00:56:59 GMT 2024","Fri May 24 00:56:59 GMT 2024","538","tests_api","POST","TestRequests","","","POST db_create_with_wrong_env.",""
"passed","Fri May 24 00:56:47 GMT 2024","Fri May 24 00:56:48 GMT 2024","546","tests_api","GET","TestRequests","","","GET profile information.",""
"failed","Fri May 24 00:56:57 GMT 2024","Fri May 24 00:56:58 GMT 2024","552","tests_api","POST","TestRequests","","","POST db_create",""
"passed","Fri May 24 00:57:09 GMT 2024","Fri May 24 00:57:09 GMT 2024","543","tests_api","POST","TestRequests","","","POST checking ports_len negative len",""
"passed","Fri May 24 00:57:07 GMT 2024","Fri May 24 00:57:08 GMT 2024","974","tests_api","POST","TestRequests","","","POST checking ports_len positive",""
"passed","Fri May 24 00:58:29 GMT 2024","Fri May 24 00:58:30 GMT 2024","1255","tests_ui","Test Main Page.","TestUI","","","test_main_button",""
"passed","Fri May 24 00:58:25 GMT 2024","Fri May 24 00:58:28 GMT 2024","3837","tests_ui","Test Main Page.","TestUI","","","test_links",""
"skipped","Fri May 24 00:57:34 GMT 2024","Fri May 24 00:58:13 GMT 2024","38953","tests_api","POST","TestRequests","","","POST delete_all_created_db",""
"passed","Fri May 24 00:56:54 GMT 2024","Fri May 24 00:56:54 GMT 2024","540","tests_api","POST","TestRequests","","","Post registration email is taken for en-us",""
"passed","Fri May 24 00:57:10 GMT 2024","Fri May 24 00:57:10 GMT 2024","542","tests_api","POST","TestRequests","","","POST create_docker_container_without_token",""
"passed","Fri May 24 00:56:56 GMT 2024","Fri May 24 00:56:57 GMT 2024","543","tests_api","POST","TestRequests","","","POST is_logged_with_wrong_token",""
"passed","Fri May 24 00:57:10 GMT 2024","Fri May 24 00:57:11 GMT 2024","1030","tests_api","POST","TestRequests","","","POST create_docker_container_without_token",""
"broken","Fri May 24 00:59:20 GMT 2024","Fri May 24 00:59:20 GMT 2024","0","tests_ui","Test Profile Page.","TestUI","","","test_check_port_lens_positive",""
"skipped","Fri May 24 00:57:33 GMT 2024","Fri May 24 00:57:34 GMT 2024","1232","tests_api","POST","TestRequests","","","POST delete_db",""
"passed","Fri May 24 00:57:00 GMT 2024","Fri May 24 00:57:01 GMT 2024","697","tests_api","POST","TestRequests","","","POST create_docker_container",""
"passed","Fri May 24 00:56:52 GMT 2024","Fri May 24 00:56:53 GMT 2024","547","tests_api","POST","TestRequests","","","Post registration Bulgaria language.",""
"broken","Fri May 24 00:58:39 GMT 2024","Fri May 24 00:58:47 GMT 2024","8291","tests_ui","Test Profile Page.","TestUI","","","test_create_database",""
"passed","Fri May 24 00:57:11 GMT 2024","Fri May 24 00:57:33 GMT 2024","21251","tests_api","POST","TestRequests","","","POST delete_container",""
"passed","Fri May 24 00:58:35 GMT 2024","Fri May 24 00:58:36 GMT 2024","1266","tests_ui","Test Profile Page.","TestUI","","","test_ids_is_not_repeated_on_profile_page",""
"passed","Fri May 24 00:56:51 GMT 2024","Fri May 24 00:56:51 GMT 2024","550","tests_api","GET","TestRequests","","","GET profile status.",""
"passed","Fri May 24 00:56:56 GMT 2024","Fri May 24 00:56:56 GMT 2024","685","tests_api","POST","TestRequests","","","POST is logged",""
"passed","Fri May 24 00:58:31 GMT 2024","Fri May 24 00:58:32 GMT 2024","695","tests_ui","Test Login Page.","TestUI","","","test_buttons_are_clickable",""
"skipped","Fri May 24 00:57:01 GMT 2024","Fri May 24 00:57:02 GMT 2024","1242","tests_api","POST","TestRequests","","","POST db_list_with_filter",""
