"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 04 01:54:18 GMT 2025","Sun May 04 01:54:18 GMT 2025","315","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"passed","Sun May 04 01:55:40 GMT 2025","Sun May 04 01:55:40 GMT 2025","316","tests_api","Test Backup","TestBackup","","","test order db create backup without uuid",""
"passed","Sun May 04 01:54:20 GMT 2025","Sun May 04 01:54:21 GMT 2025","663","tests_api","POST","TestPOST","","","POST is logout",""
"passed","Sun May 04 01:54:14 GMT 2025","Sun May 04 01:54:15 GMT 2025","488","tests_api","GET","TestGET","","","GET list list_dbtypes.",""
"failed","Sun May 04 01:54:33 GMT 2025","Sun May 04 01:54:54 GMT 2025","20923","tests_api","POST","TestPOST","","","POST delete_container",""
"broken","Sun May 04 01:56:29 GMT 2025","Sun May 04 01:56:36 GMT 2025","6038","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_uuid_docker",""
"passed","Sun May 04 01:54:17 GMT 2025","Sun May 04 01:54:18 GMT 2025","321","tests_api","POST","TestPOST","","","POST registration for English language not agree.",""
"skipped","Sun May 04 01:54:28 GMT 2025","Sun May 04 01:54:28 GMT 2025","611","tests_api","POST","TestPOST","","","POST db_list_with_filter",""
"failed","Sun May 04 01:54:26 GMT 2025","Sun May 04 01:54:27 GMT 2025","313","tests_api","POST","TestPOST","","","POST db_create_with_wrong_region.",""
"passed","Sun May 04 01:54:20 GMT 2025","Sun May 04 01:54:20 GMT 2025","320","tests_api","POST","TestPOST","","","POST is_logged_with_wrong_token",""
"passed","Sun May 04 01:54:27 GMT 2025","Sun May 04 01:54:27 GMT 2025","318","tests_api","POST","TestPOST","","","POST db_list",""
"passed","Sun May 04 01:54:16 GMT 2025","Sun May 04 01:54:16 GMT 2025","316","tests_api","GET","TestGET","","","GET list list_regions.",""
"passed","Sun May 04 01:54:16 GMT 2025","Sun May 04 01:54:16 GMT 2025","293","tests_api","GET","TestGET","","","GET bad_request.",""
"failed","Sun May 04 01:54:25 GMT 2025","Sun May 04 01:54:26 GMT 2025","337","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_type.",""
"passed","Sun May 04 01:54:13 GMT 2025","Sun May 04 01:54:14 GMT 2025","492","tests_api","GET","TestGET","","","GET tos.",""
"skipped","Sun May 04 01:54:55 GMT 2025","Sun May 04 01:54:55 GMT 2025","608","tests_api","POST","TestPOST","","","POST delete_db",""
"broken","Sun May 04 01:54:12 GMT 2025","Sun May 04 01:54:13 GMT 2025","472","tests_api","Test Connection DB","TestFull","","","Capacity_db",""
"failed","Sun May 04 01:54:33 GMT 2025","Sun May 04 01:54:33 GMT 2025","485","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"broken","Sun May 04 01:56:06 GMT 2025","Sun May 04 01:56:13 GMT 2025","7949","tests_ui","Test Profile Page.","TestProfilePage","","","test_create_database",""
"passed","Sun May 04 01:56:19 GMT 2025","Sun May 04 01:56:21 GMT 2025","1999","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"failed","Sun May 04 01:54:26 GMT 2025","Sun May 04 01:54:26 GMT 2025","319","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_version.",""
"passed","Sun May 04 01:54:19 GMT 2025","Sun May 04 01:54:19 GMT 2025","323","tests_api","POST","TestPOST","","","POST registration email is taken for unsupported languages",""
"failed","Sun May 04 01:54:31 GMT 2025","Sun May 04 01:54:32 GMT 2025","320","tests_api","POST","TestPOST","","","POST checking ports_len positive",""
"failed","Sun May 04 01:56:15 GMT 2025","Sun May 04 01:56:18 GMT 2025","3394","tests_ui","Test Profile Page.","TestProfilePage","","","test_delete_database",""
"broken","Sun May 04 01:56:22 GMT 2025","Sun May 04 01:56:28 GMT 2025","6633","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_jdbc",""
"passed","Sun May 04 01:54:23 GMT 2025","Sun May 04 01:54:24 GMT 2025","1303","tests_api","POST","TestPOST","","","POST logout with wrong logout token",""
"passed","Sun May 04 01:55:39 GMT 2025","Sun May 04 01:55:39 GMT 2025","314","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong token",""
"passed","Sun May 04 01:54:17 GMT 2025","Sun May 04 01:54:17 GMT 2025","325","tests_api","POST","TestPOST","","","POST registration for English language.",""
"broken","Sun May 04 01:55:59 GMT 2025","Sun May 04 01:56:05 GMT 2025","5431","tests_ui","Test Profile Page.","TestProfilePage","","","test_check_title_of_static_table",""
"passed","Sun May 04 01:55:50 GMT 2025","Sun May 04 01:55:50 GMT 2025","528","tests_ui","Test Login Page.","TestLoginPage","","","test_login",""
"passed","Sun May 04 01:55:41 GMT 2025","Sun May 04 01:55:41 GMT 2025","315","tests_api","Test Backup","TestBackup","","","test order db create backup non-belonging db",""
"failed","Sun May 04 01:54:16 GMT 2025","Sun May 04 01:54:16 GMT 2025","304","tests_api","GET","TestGET","","","GET profile status.",""
"passed","Sun May 04 01:55:51 GMT 2025","Sun May 04 01:55:52 GMT 2025","845","tests_ui","Test Profile Page.","TestProfilePage","","","test_ids_is_not_repeated_on_profile_page",""
"passed","Sun May 04 01:54:19 GMT 2025","Sun May 04 01:54:20 GMT 2025","320","tests_api","POST","TestPOST","","","POST login",""
