"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Nov 03 01:41:38 GMT 2024","Sun Nov 03 01:41:45 GMT 2024","6585","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_jdbc",""
"failed","Sun Nov 03 01:39:24 GMT 2024","Sun Nov 03 01:39:25 GMT 2024","313","tests_api","POST","TestPOST","","","POST checking ports_len negative symbols",""
"passed","Sun Nov 03 01:40:43 GMT 2024","Sun Nov 03 01:40:43 GMT 2024","314","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"passed","Sun Nov 03 01:39:08 GMT 2024","Sun Nov 03 01:39:08 GMT 2024","324","tests_api","GET","TestGET","","","GET list list_dbenvs.",""
"passed","Sun Nov 03 01:41:09 GMT 2024","Sun Nov 03 01:41:09 GMT 2024","0","tests_ui","Test Profile Page.","TestProfilePage","","","Get token.",""
"passed","Sun Nov 03 01:39:15 GMT 2024","Sun Nov 03 01:39:16 GMT 2024","961","tests_api","POST","TestPOST","","","POST logout with wrong logout token",""
"failed","Sun Nov 03 01:39:18 GMT 2024","Sun Nov 03 01:39:19 GMT 2024","313","tests_api","POST","TestPOST","","","POST db_create_with_wrong_region.",""
"passed","Sun Nov 03 01:39:10 GMT 2024","Sun Nov 03 01:39:11 GMT 2024","311","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"broken","Sun Nov 03 01:39:06 GMT 2024","Sun Nov 03 01:39:06 GMT 2024","404","tests_api","Test Connection DB","TestFull","","","Capacity_db",""
"failed","Sun Nov 03 01:39:22 GMT 2024","Sun Nov 03 01:39:23 GMT 2024","1542","tests_api","POST","TestPOST","","","POST create_docker_container",""
"passed","Sun Nov 03 01:41:00 GMT 2024","Sun Nov 03 01:41:02 GMT 2024","1099","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"skipped","Sun Nov 03 01:39:47 GMT 2024","Sun Nov 03 01:40:11 GMT 2024","23196","tests_api","POST","TestPOST","","","POST delete_all_created_db",""
"passed","Sun Nov 03 01:40:45 GMT 2024","Sun Nov 03 01:40:45 GMT 2024","0","tests_api","Test Static webpages","TestStaticWebPages","","","POST get token and other params.",""
"broken","Sun Nov 03 01:41:35 GMT 2024","Sun Nov 03 01:41:37 GMT 2024","1941","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"broken","Sun Nov 03 01:41:11 GMT 2024","Sun Nov 03 01:41:16 GMT 2024","5445","tests_ui","Test Profile Page.","TestProfilePage","","","test_open_static_site_page",""
"failed","Sun Nov 03 01:39:17 GMT 2024","Sun Nov 03 01:39:18 GMT 2024","334","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_type.",""
"passed","Sun Nov 03 01:39:12 GMT 2024","Sun Nov 03 01:39:12 GMT 2024","317","tests_api","POST","TestPOST","","","POST login",""
"passed","Sun Nov 03 01:40:11 GMT 2024","Sun Nov 03 01:40:42 GMT 2024","30632","tests_api","Test Backup","TestBackup","","","test order db create backup",""
