"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 01 08:39:40 GMT 2024","Wed May 01 08:39:41 GMT 2024","1102","tests_api","POST","TestRequests","","","POST checking ports_len positive",""
"passed","Wed May 01 08:39:28 GMT 2024","Wed May 01 08:39:28 GMT 2024","348","tests_api","GET","TestRequests","","","GET list db_versions.",""
"passed","Wed May 01 08:39:34 GMT 2024","Wed May 01 08:39:35 GMT 2024","351","tests_api","POST","TestRequests","","","POST db_create_with_wrong_db_version.",""
"passed","Wed May 01 08:39:32 GMT 2024","Wed May 01 08:39:33 GMT 2024","336","tests_api","POST","TestRequests","","","Post registration email is taken for unsupported languages",""
"passed","Wed May 01 08:39:38 GMT 2024","Wed May 01 08:39:39 GMT 2024","334","tests_api","POST","TestRequests","","","POST change_password_without_token",""
"skipped","Wed May 01 08:40:04 GMT 2024","Wed May 01 08:40:05 GMT 2024","746","tests_api","POST","TestRequests","","","POST delete_db",""
"passed","Wed May 01 08:39:36 GMT 2024","Wed May 01 08:39:36 GMT 2024","406","tests_api","POST","TestRequests","","","POST db_list",""
"passed","Wed May 01 08:39:41 GMT 2024","Wed May 01 08:39:41 GMT 2024","335","tests_api","POST","TestRequests","","","POST checking ports_len negative range",""
"passed","Wed May 01 08:39:31 GMT 2024","Wed May 01 08:39:31 GMT 2024","343","tests_api","POST","TestRequests","","","Post registration Bulgaria language not agree.",""
"passed","Wed May 01 08:39:28 GMT 2024","Wed May 01 08:39:28 GMT 2024","463","tests_api","GET","TestRequests","","","List db_types.",""
"passed","Wed May 01 08:39:31 GMT 2024","Wed May 01 08:39:31 GMT 2024","367","tests_api","POST","TestRequests","","","Post registration Bulgaria language.",""
"passed","Wed May 01 08:39:27 GMT 2024","Wed May 01 08:39:28 GMT 2024","466","tests_api","GET","TestRequests","","","GET profile information.",""
"passed","Wed May 01 08:39:37 GMT 2024","Wed May 01 08:39:38 GMT 2024","702","tests_api","POST","TestRequests","","","POST change_password",""
"passed","Wed May 01 08:39:42 GMT 2024","Wed May 01 08:39:42 GMT 2024","336","tests_api","POST","TestRequests","","","POST create_docker_container_without_token",""
"passed","Wed May 01 08:39:30 GMT 2024","Wed May 01 08:39:31 GMT 2024","353","tests_api","POST","TestRequests","","","Post registration for English language not agree.",""
"passed","Wed May 01 08:39:29 GMT 2024","Wed May 01 08:39:29 GMT 2024","316","tests_api","GET","TestRequests","","","GET bad request.",""
"passed","Wed May 01 08:39:35 GMT 2024","Wed May 01 08:39:35 GMT 2024","339","tests_api","POST","TestRequests","","","POST db_create_with_wrong_env.",""
"passed","Wed May 01 08:39:38 GMT 2024","Wed May 01 08:39:38 GMT 2024","335","tests_api","POST","TestRequests","","","POST change_password_with_wrong_data",""
"passed","Wed May 01 08:39:28 GMT 2024","Wed May 01 08:39:29 GMT 2024","348","tests_api","GET","TestRequests","","","GET list envs.",""
"failed","Wed May 01 08:39:43 GMT 2024","Wed May 01 08:40:04 GMT 2024","20683","tests_api","POST","TestRequests","","","POST delete_container",""
"skipped","Wed May 01 08:39:36 GMT 2024","Wed May 01 08:39:37 GMT 2024","901","tests_api","POST","TestRequests","","","POST db_list_with_filter",""
"passed","Wed May 01 08:39:33 GMT 2024","Wed May 01 08:39:33 GMT 2024","315","tests_api","POST","TestRequests","","","Post login",""
"passed","Wed May 01 08:39:41 GMT 2024","Wed May 01 08:39:41 GMT 2024","340","tests_api","POST","TestRequests","","","POST checking ports_len negative len",""
"passed","Wed May 01 08:39:31 GMT 2024","Wed May 01 08:39:32 GMT 2024","356","tests_api","POST","TestRequests","","","Post registration email is taken for en-us",""
"passed","Wed May 01 08:39:30 GMT 2024","Wed May 01 08:39:30 GMT 2024","472","tests_api","POST","TestRequests","","","Post registration for English language.",""
"passed","Wed May 01 08:39:34 GMT 2024","Wed May 01 08:39:34 GMT 2024","339","tests_api","POST","TestRequests","","","POST db_create_with_wrong_db_type.",""
"passed","Wed May 01 08:39:41 GMT 2024","Wed May 01 08:39:42 GMT 2024","339","tests_api","POST","TestRequests","","","POST checking ports_len negative symbols",""
"passed","Wed May 01 08:39:27 GMT 2024","Wed May 01 08:39:27 GMT 2024","338","tests_api","GET","TestRequests","","","GET tos.",""
"passed","Wed May 01 08:39:33 GMT 2024","Wed May 01 08:39:33 GMT 2024","335","tests_api","POST","TestRequests","","","POST is logged",""
"passed","Wed May 01 08:39:33 GMT 2024","Wed May 01 08:39:34 GMT 2024","339","tests_api","POST","TestRequests","","","POST is_logged_with_wrong_token",""
"skipped","Wed May 01 08:40:05 GMT 2024","Wed May 01 08:41:09 GMT 2024","64189","tests_api","POST","TestRequests","","","POST delete_all_created_db",""
"passed","Wed May 01 08:39:36 GMT 2024","Wed May 01 08:39:36 GMT 2024","341","tests_api","POST","TestRequests","","","POST create_docker_container",""
"passed","Wed May 01 08:39:32 GMT 2024","Wed May 01 08:39:32 GMT 2024","456","tests_api","POST","TestRequests","","","Post registration email is taken for bg-bg",""
"passed","Wed May 01 08:39:39 GMT 2024","Wed May 01 08:39:40 GMT 2024","990","tests_api","POST","TestRequests","","","POST create_docker_container",""
"passed","Wed May 01 08:39:34 GMT 2024","Wed May 01 08:39:34 GMT 2024","471","tests_api","POST","TestRequests","","","POST db_create",""
"passed","Wed May 01 08:39:42 GMT 2024","Wed May 01 08:39:43 GMT 2024","1094","tests_api","POST","TestRequests","","","POST create_docker_container_without_token",""
"passed","Wed May 01 08:39:29 GMT 2024","Wed May 01 08:39:29 GMT 2024","334","tests_api","GET","TestRequests","","","GET list regions.",""
"passed","Wed May 01 08:39:35 GMT 2024","Wed May 01 08:39:36 GMT 2024","456","tests_api","POST","TestRequests","","","POST db_create_with_wrong_region.",""
