"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 05 01:50:03 GMT 2025","Mon May 05 01:50:03 GMT 2025","507","tests_api","POST","TestPOST","","","POST checking ports_len positive",""
"passed","Mon May 05 01:49:56 GMT 2025","Mon May 05 01:49:57 GMT 2025","997","tests_api","POST","TestPOST","","","POST create_docker_container",""
"passed","Mon May 05 01:52:06 GMT 2025","Mon May 05 01:52:06 GMT 2025","758","tests_ui","Test Login Page.","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
"failed","Mon May 05 01:49:55 GMT 2025","Mon May 05 01:49:56 GMT 2025","508","tests_api","POST","TestPOST","","","POST db_create_with_wrong_region.",""
"passed","Mon May 05 01:49:40 GMT 2025","Mon May 05 01:49:40 GMT 2025","515","tests_api","GET","TestGET","","","GET list list_regions.",""
"failed","Mon May 05 01:50:05 GMT 2025","Mon May 05 01:50:05 GMT 2025","506","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Mon May 05 01:49:45 GMT 2025","Mon May 05 01:49:46 GMT 2025","503","tests_api","POST","TestPOST","","","POST login",""
"failed","Mon May 05 01:52:36 GMT 2025","Mon May 05 01:52:39 GMT 2025","3699","tests_ui","Test Profile Page.","TestProfilePage","","","test_delete_database",""
"failed","Mon May 05 01:49:38 GMT 2025","Mon May 05 01:49:38 GMT 2025","615","tests_api","GET","TestGET","","","GET profile information.",""
"passed","Mon May 05 01:52:00 GMT 2025","Mon May 05 01:52:04 GMT 2025","3619","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"passed","Mon May 05 01:52:40 GMT 2025","Mon May 05 01:52:43 GMT 2025","2750","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"passed","Mon May 05 01:51:39 GMT 2025","Mon May 05 01:51:40 GMT 2025","499","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"passed","Mon May 05 01:49:58 GMT 2025","Mon May 05 01:49:59 GMT 2025","1029","tests_api","POST","TestPOST","","","POST change_password",""
"failed","Mon May 05 01:49:54 GMT 2025","Mon May 05 01:49:55 GMT 2025","502","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_version.",""
"passed","Mon May 05 01:49:56 GMT 2025","Mon May 05 01:49:56 GMT 2025","510","tests_api","POST","TestPOST","","","POST db_list",""
"failed","Mon May 05 01:50:05 GMT 2025","Mon May 05 01:50:06 GMT 2025","510","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Mon May 05 01:49:35 GMT 2025","Mon May 05 01:49:35 GMT 2025","1","tests_api","Test Connection DB","TestFull","","","Get token.",""
"passed","Mon May 05 01:49:43 GMT 2025","Mon May 05 01:49:43 GMT 2025","530","tests_api","POST","TestPOST","","","POST registration Bulgaria language.",""
"passed","Mon May 05 01:52:09 GMT 2025","Mon May 05 01:52:09 GMT 2025","0","tests_ui","Test Profile Page.","TestProfilePage","","","Get token.",""
"passed","Mon May 05 01:52:07 GMT 2025","Mon May 05 01:52:07 GMT 2025","723","tests_ui","Test Login Page.","TestLoginPage","","","test_buttons_are_clickable",""
"passed","Mon May 05 01:49:42 GMT 2025","Mon May 05 01:49:43 GMT 2025","526","tests_api","POST","TestPOST","","","POST registration for English language not agree.",""
"failed","Mon May 05 01:49:35 GMT 2025","Mon May 05 01:49:36 GMT 2025","1157","tests_api","Test Connection DB","TestFull","","","Complex",""
"passed","Mon May 05 01:49:48 GMT 2025","Mon May 05 01:49:50 GMT 2025","1522","tests_api","POST","TestPOST","","","POST login/is_logged/logout",""
"skipped","Mon May 05 01:50:28 GMT 2025","Mon May 05 01:50:29 GMT 2025","1000","tests_api","POST","TestPOST","","","POST delete_db",""
"passed","Mon May 05 01:49:45 GMT 2025","Mon May 05 01:49:45 GMT 2025","501","tests_api","POST","TestPOST","","","POST registration email is taken for unsupported languages",""
"passed","Mon May 05 01:49:59 GMT 2025","Mon May 05 01:50:00 GMT 2025","502","tests_api","POST","TestPOST","","","POST change_password_with_wrong_data",""
"failed","Mon May 05 01:50:06 GMT 2025","Mon May 05 01:50:27 GMT 2025","21492","tests_api","POST","TestPOST","","","POST delete_container",""
"failed","Mon May 05 01:49:41 GMT 2025","Mon May 05 01:49:41 GMT 2025","478","tests_api","GET","TestGET","","","GET profile status.",""
"passed","Mon May 05 01:51:58 GMT 2025","Mon May 05 01:52:00 GMT 2025","1373","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"broken","Mon May 05 01:52:12 GMT 2025","Mon May 05 01:52:18 GMT 2025","5441","tests_ui","Test Profile Page.","TestProfilePage","","","test_open_static_site_page",""
"passed","Mon May 05 01:49:42 GMT 2025","Mon May 05 01:49:42 GMT 2025","502","tests_api","POST","TestPOST","","","POST registration for English language.",""
