"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 03 02:00:26 GMT 2025","Mon Feb 03 02:01:26 GMT 2025","60292","tests_api","POST","TestPOST","","","POST db_create_with_wrong_db_version.",""
"broken","Mon Feb 03 01:55:24 GMT 2025","Mon Feb 03 01:55:24 GMT 2025","0","tests_api","POST","TestPOST","","","POST logout with wrong logout token",""
"failed","Mon Feb 03 02:25:34 GMT 2025","Mon Feb 03 02:25:34 GMT 2025","0","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong uuid",""
"failed","Mon Feb 03 02:17:31 GMT 2025","Mon Feb 03 02:18:31 GMT 2025","60310","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"broken","Mon Feb 03 02:34:06 GMT 2025","Mon Feb 03 02:34:12 GMT 2025","6126","tests_ui","Test Profile Page.","TestProfilePage","","","test_create_database",""
"failed","Mon Feb 03 01:37:18 GMT 2025","Mon Feb 03 01:38:18 GMT 2025","60295","tests_api","GET","TestGET","","","GET list list_regions.",""
"failed","Mon Feb 03 02:15:30 GMT 2025","Mon Feb 03 02:16:31 GMT 2025","60327","tests_api","POST","TestPOST","","","POST checking ports_len negative symbols",""
"skipped","Mon Feb 03 02:19:32 GMT 2025","Mon Feb 03 02:19:32 GMT 2025","0","tests_api","POST","TestPOST","","","POST delete_db",""
"broken","Mon Feb 03 01:40:19 GMT 2025","Mon Feb 03 01:40:19 GMT 2025","0","tests_api","POST","TestPOST","","","POST get token and other params.",""
"failed","Mon Feb 03 02:01:26 GMT 2025","Mon Feb 03 02:02:26 GMT 2025","60299","tests_api","POST","TestPOST","","","POST db_create_with_wrong_env.",""
"failed","Mon Feb 03 02:09:28 GMT 2025","Mon Feb 03 02:12:29 GMT 2025","180891","tests_api","POST","TestPOST","","","POST create_docker_container",""
"failed","Mon Feb 03 02:27:34 GMT 2025","Mon Feb 03 02:27:34 GMT 2025","0","tests_api","Test Backup","TestBackup","","","test order db create backup non-belonging db",""
"passed","Mon Feb 03 02:31:44 GMT 2025","Mon Feb 03 02:31:45 GMT 2025","1024","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"broken","Mon Feb 03 02:34:13 GMT 2025","Mon Feb 03 02:34:19 GMT 2025","6143","tests_ui","Test Profile Page.","TestProfilePage","","","test_delete_database",""
"failed","Mon Feb 03 02:08:28 GMT 2025","Mon Feb 03 02:09:28 GMT 2025","60292","tests_api","POST","TestPOST","","","POST change_password_without_token",""
"failed","Mon Feb 03 01:38:18 GMT 2025","Mon Feb 03 01:39:19 GMT 2025","60411","tests_api","GET","TestGET","","","GET bad_request.",""
"failed","Mon Feb 03 02:06:28 GMT 2025","Mon Feb 03 02:07:28 GMT 2025","60292","tests_api","POST","TestPOST","","","POST change_password",""
"broken","Mon Feb 03 02:18:31 GMT 2025","Mon Feb 03 02:19:32 GMT 2025","60332","tests_api","POST","TestPOST","","","POST delete_container",""
"failed","Mon Feb 03 01:27:15 GMT 2025","Mon Feb 03 01:29:16 GMT 2025","120593","tests_api","Test Connection DB","TestFull","","","Complex",""
"broken","Mon Feb 03 02:31:51 GMT 2025","Mon Feb 03 02:31:51 GMT 2025","0","tests_ui","Test Profile Page.","TestProfilePage","","","Get token.",""
"failed","Mon Feb 03 02:26:34 GMT 2025","Mon Feb 03 02:26:34 GMT 2025","0","tests_api","Test Backup","TestBackup","","","test order db create backup without uuid",""
"failed","Mon Feb 03 01:45:21 GMT 2025","Mon Feb 03 01:46:21 GMT 2025","60297","tests_api","POST","TestPOST","","","POST registration Bulgaria language not agree.",""
"failed","Mon Feb 03 01:46:21 GMT 2025","Mon Feb 03 01:47:21 GMT 2025","60292","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"broken","Mon Feb 03 02:28:35 GMT 2025","Mon Feb 03 02:28:35 GMT 2025","0","tests_api","Test Static webpages","TestStaticWebPages","","","POST get token and other params.",""
"failed","Mon Feb 03 01:42:20 GMT 2025","Mon Feb 03 01:43:20 GMT 2025","60296","tests_api","POST","TestPOST","","","POST registration for English language.",""
"failed","Mon Feb 03 02:23:33 GMT 2025","Mon Feb 03 02:23:33 GMT 2025","0","tests_api","Test Backup","TestBackup","","","test order db create backup",""
"broken","Mon Feb 03 02:34:26 GMT 2025","Mon Feb 03 02:34:32 GMT 2025","5126","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_jdbc",""
"passed","Mon Feb 03 02:31:51 GMT 2025","Mon Feb 03 02:31:51 GMT 2025","840","tests_ui","Test Login Page.","TestLoginPage","","","test_login",""
"broken","Mon Feb 03 02:34:20 GMT 2025","Mon Feb 03 02:34:25 GMT 2025","5134","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"passed","Mon Feb 03 02:31:45 GMT 2025","Mon Feb 03 02:31:47 GMT 2025","2096","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"passed","Mon Feb 03 02:31:48 GMT 2025","Mon Feb 03 02:31:49 GMT 2025","711","tests_ui","Test Main Page.","TestMainPage","","","test_main_button",""
"broken","Mon Feb 03 01:30:16 GMT 2025","Mon Feb 03 01:30:16 GMT 2025","0","tests_api","GET","TestGET","","","Get token.",""
"skipped","Mon Feb 03 02:21:33 GMT 2025","Mon Feb 03 02:21:33 GMT 2025","0","tests_api","POST","TestPOST","","","POST delete_all_created_db",""
"failed","Mon Feb 03 01:52:23 GMT 2025","Mon Feb 03 01:53:23 GMT 2025","60284","tests_api","POST","TestPOST","","","POST is logout",""
"failed","Mon Feb 03 01:48:22 GMT 2025","Mon Feb 03 01:49:22 GMT 2025","60300","tests_api","POST","TestPOST","","","POST registration email is taken for unsupported languages",""
"failed","Mon Feb 03 01:36:18 GMT 2025","Mon Feb 03 01:37:18 GMT 2025","60300","tests_api","GET","TestGET","","","GET list list_dbenvs.",""
"failed","Mon Feb 03 01:49:22 GMT 2025","Mon Feb 03 01:50:22 GMT 2025","60311","tests_api","POST","TestPOST","","","POST login",""
"failed","Mon Feb 03 01:50:22 GMT 2025","Mon Feb 03 01:51:23 GMT 2025","60304","tests_api","POST","TestPOST","","","POST is logged",""
"failed","Mon Feb 03 02:07:28 GMT 2025","Mon Feb 03 02:08:28 GMT 2025","60294","tests_api","POST","TestPOST","","","POST change_password_with_wrong_data",""
"passed","Mon Feb 03 02:31:49 GMT 2025","Mon Feb 03 02:31:49 GMT 2025","581","tests_ui","Test Login Page.","TestLoginPage","","","test_ids_is_not_repeated_on_login_page",""
