"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jan 17 01:25:53 GMT 2025","Fri Jan 17 01:25:59 GMT 2025","5451","tests_ui","Test Profile Page.","TestProfilePage","","","test_open_static_site_page",""
"passed","Fri Jan 17 01:23:39 GMT 2025","Fri Jan 17 01:23:39 GMT 2025","660","tests_api","POST","TestPOST","","","POST change_password",""
"passed","Fri Jan 17 01:23:31 GMT 2025","Fri Jan 17 01:23:32 GMT 2025","662","tests_api","POST","TestPOST","","","POST is logout",""
"passed","Fri Jan 17 01:23:27 GMT 2025","Fri Jan 17 01:23:27 GMT 2025","305","tests_api","GET","TestGET","","","GET bad_request.",""
"failed","Fri Jan 17 01:23:36 GMT 2025","Fri Jan 17 01:23:37 GMT 2025","338","tests_api","POST","TestPOST","","","POST db_create_with_wrong_env.",""
"passed","Fri Jan 17 01:23:30 GMT 2025","Fri Jan 17 01:23:30 GMT 2025","337","tests_api","POST","TestPOST","","","POST registration email is taken for bg-bg",""
"passed","Fri Jan 17 01:23:27 GMT 2025","Fri Jan 17 01:23:27 GMT 2025","315","tests_api","GET","TestGET","","","GET list list_regions.",""
"passed","Fri Jan 17 01:25:45 GMT 2025","Fri Jan 17 01:25:47 GMT 2025","2208","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"skipped","Fri Jan 17 01:23:38 GMT 2025","Fri Jan 17 01:23:39 GMT 2025","656","tests_api","POST","TestPOST","","","POST db_list_with_filter",""
"passed","Fri Jan 17 01:23:28 GMT 2025","Fri Jan 17 01:23:28 GMT 2025","341","tests_api","POST","TestPOST","","","POST registration for English language.",""
"passed","Fri Jan 17 01:23:31 GMT 2025","Fri Jan 17 01:23:31 GMT 2025","320","tests_api","POST","TestPOST","","","POST is_logged_with_wrong_token",""
"passed","Fri Jan 17 01:26:30 GMT 2025","Fri Jan 17 01:26:32 GMT 2025","2508","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard_uuid_docker",""
"failed","Fri Jan 17 01:23:42 GMT 2025","Fri Jan 17 01:23:42 GMT 2025","317","tests_api","POST","TestPOST","","","POST checking ports_len negative range",""
"passed","Fri Jan 17 01:23:37 GMT 2025","Fri Jan 17 01:23:38 GMT 2025","610","tests_api","POST","TestPOST","","","POST create_docker_container",""
"passed","Fri Jan 17 01:25:44 GMT 2025","Fri Jan 17 01:25:45 GMT 2025","551","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"passed","Fri Jan 17 01:25:49 GMT 2025","Fri Jan 17 01:25:50 GMT 2025","539","tests_ui","Test Login Page.","TestLoginPage","","","test_buttons_are_clickable",""
"passed","Fri Jan 17 01:23:28 GMT 2025","Fri Jan 17 01:23:29 GMT 2025","325","tests_api","POST","TestPOST","","","POST registration for English language not agree.",""
"passed","Fri Jan 17 01:23:30 GMT 2025","Fri Jan 17 01:23:31 GMT 2025","318","tests_api","POST","TestPOST","","","POST login",""
"broken","Fri Jan 17 01:26:00 GMT 2025","Fri Jan 17 01:26:05 GMT 2025","5458","tests_ui","Test Profile Page.","TestProfilePage","","","test_check_title_of_static_table",""
