"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 06 01:38:55 GMT 2024","Sun Oct 06 01:38:55 GMT 2024","305","tests_api","POST","TestPOST","","","POST checking ports_len negative symbols",""
"passed","Sun Oct 06 01:38:39 GMT 2024","Sun Oct 06 01:38:40 GMT 2024","437","tests_api","POST","TestPOST","","","POST registration for English language.",""
"passed","Sun Oct 06 01:40:10 GMT 2024","Sun Oct 06 01:40:41 GMT 2024","30617","tests_api","Test Backup","TestBackup","","","test order db create backup",""
"passed","Sun Oct 06 01:40:52 GMT 2024","Sun Oct 06 01:40:52 GMT 2024","519","tests_ui","Test Login Page.","TestLoginPage","","","test_buttons_are_clickable",""
"passed","Sun Oct 06 01:38:41 GMT 2024","Sun Oct 06 01:38:41 GMT 2024","325","tests_api","POST","TestPOST","","","POST registration email is taken for bg-bg",""
"skipped","Sun Oct 06 01:39:18 GMT 2024","Sun Oct 06 01:40:10 GMT 2024","51503","tests_api","POST","TestPOST","","","POST delete_all_created_db",""
"passed","Sun Oct 06 01:40:43 GMT 2024","Sun Oct 06 01:40:44 GMT 2024","307","tests_api","Test Backup","TestBackup","","","test order db create backup non-belonging db",""
"passed","Sun Oct 06 01:38:55 GMT 2024","Sun Oct 06 01:38:56 GMT 2024","788","tests_api","POST","TestPOST","","","POST create_docker_container_without_token",""
"passed","Sun Oct 06 01:40:41 GMT 2024","Sun Oct 06 01:40:41 GMT 2024","313","tests_api","Test Backup","TestBackup","","","test order db create backup with wrong token",""
"skipped","Sun Oct 06 01:39:17 GMT 2024","Sun Oct 06 01:39:18 GMT 2024","819","tests_api","POST","TestPOST","","","POST delete_db",""
"failed","Sun Oct 06 01:38:56 GMT 2024","Sun Oct 06 01:39:17 GMT 2024","20943","tests_api","POST","TestPOST","","","POST delete_container",""
"passed","Sun Oct 06 01:41:21 GMT 2024","Sun Oct 06 01:41:23 GMT 2024","1958","tests_ui","Test Profile Page.","TestProfilePage","","","test_clipboard",""
"passed","Sun Oct 06 01:38:42 GMT 2024","Sun Oct 06 01:38:42 GMT 2024","317","tests_api","POST","TestPOST","","","POST login",""
"failed","Sun Oct 06 01:40:44 GMT 2024","Sun Oct 06 01:40:44 GMT 2024","298","tests_api","Test Static webpages","TestStaticWebPages","","","POST check static webpages without toke.",""
"passed","Sun Oct 06 01:38:40 GMT 2024","Sun Oct 06 01:38:40 GMT 2024","488","tests_api","POST","TestPOST","","","POST registration for English language not agree.",""
"passed","Sun Oct 06 01:38:41 GMT 2024","Sun Oct 06 01:38:41 GMT 2024","309","tests_api","POST","TestPOST","","","POST registration email is taken for en-us",""
"passed","Sun Oct 06 01:38:43 GMT 2024","Sun Oct 06 01:38:44 GMT 2024","919","tests_api","POST","TestPOST","","","POST is logout",""
"passed","Sun Oct 06 01:40:46 GMT 2024","Sun Oct 06 01:40:47 GMT 2024","646","tests_ui","Test Main Page.","TestMainPage","","","test_ids_is_not_repeated_on_main_page",""
"passed","Sun Oct 06 01:38:37 GMT 2024","Sun Oct 06 01:38:37 GMT 2024","311","tests_api","GET","TestGET","","","GET list db_versions.",""
"passed","Sun Oct 06 01:40:47 GMT 2024","Sun Oct 06 01:40:49 GMT 2024","2172","tests_ui","Test Main Page.","TestMainPage","","","test_links",""
"passed","Sun Oct 06 01:40:53 GMT 2024","Sun Oct 06 01:40:53 GMT 2024","0","tests_ui","Test Profile Page.","TestProfilePage","","","Get token.",""
