"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 00:59:20 GMT 2024","Wed Jun 19 00:59:20 GMT 2024","539","tests_api","POST","TestRequests","","","Post registration email is taken for unsupported languages",""
"passed","Wed Jun 19 00:59:29 GMT 2024","Wed Jun 19 00:59:30 GMT 2024","551","tests_api","POST","TestRequests","","","POST change_password_without_token",""
"broken","Wed Jun 19 01:01:25 GMT 2024","Wed Jun 19 01:01:34 GMT 2024","8189","tests_ui","Test Profile Page.","TestUI","","","test_create_database",""
"passed","Wed Jun 19 00:59:13 GMT 2024","Wed Jun 19 00:59:14 GMT 2024","548","tests_api","GET","TestRequests","","","List db_types.",""
"passed","Wed Jun 19 01:01:11 GMT 2024","Wed Jun 19 01:01:12 GMT 2024","816","tests_ui","Test Main Page.","TestUI","","","test_ids_is_not_repeated_on_main_page",""
"passed","Wed Jun 19 00:59:35 GMT 2024","Wed Jun 19 00:59:36 GMT 2024","534","tests_api","POST","TestRequests","","","POST create_docker_container_without_token",""
"failed","Wed Jun 19 00:59:37 GMT 2024","Wed Jun 19 00:59:58 GMT 2024","21449","tests_api","POST","TestRequests","","","POST delete_container",""
"passed","Wed Jun 19 00:59:18 GMT 2024","Wed Jun 19 00:59:18 GMT 2024","559","tests_api","POST","TestRequests","","","Post registration Bulgaria language.",""
"passed","Wed Jun 19 00:59:35 GMT 2024","Wed Jun 19 00:59:35 GMT 2024","547","tests_api","POST","TestRequests","","","POST checking ports_len negative symbols",""
"skipped","Wed Jun 19 00:59:27 GMT 2024","Wed Jun 19 00:59:28 GMT 2024","1260","tests_api","POST","TestRequests","","","POST db_list_with_filter",""
"passed","Wed Jun 19 01:01:47 GMT 2024","Wed Jun 19 01:01:50 GMT 2024","2635","tests_ui","Test Profile Page.","TestUI","","","test_clipboard_jdbc",""
"passed","Wed Jun 19 01:01:16 GMT 2024","Wed Jun 19 01:01:17 GMT 2024","933","tests_ui","Test Main Page.","TestUI","","","test_main_button",""
"passed","Wed Jun 19 01:01:12 GMT 2024","Wed Jun 19 01:01:16 GMT 2024","3812","tests_ui","Test Main Page.","TestUI","","","test_links",""
